record_id,vendor,category,sub_metric,period,result_version,source_record_id,target,actual,unit,score_method,official_score,actual_attainment,forecast,confidence,freshness_date,owner,verification_level,evidence_refs,source,notes,recorded_date,recorded_by
RES-0016,Atlassian,business_planning_qbr,QBR action item closure rate,2026-Q3,1,MET-0016,100,0,%,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0017,Atlassian,registrations,Deal Registration volume & approval rate,2026-Q3,1,MET-0017,30,0,count,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0018,Atlassian,registrations,PVR (Partner Value Registration) volume/approval,2026-Q3,1,MET-0018,15,0,count,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data; confirm with Atlassian whether PVR is still an active program before re-entering data,2026-07-18,migration_002
RES-0019,Atlassian,registrations,Service Registration volume/approval,2026-Q3,1,MET-0019,10,0,count,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0020,Atlassian,third_party_coselling,Active joint engagements with SIs/ISVs,2026-Q3,1,MET-0020,8,0,count,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0021,Atlassian,third_party_coselling,Revenue influenced via 3rd-party referrals,2026-Q3,1,MET-0021,300000,0,EUR,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0022,Atlassian,third_party_coselling,AWS co-sell deals (ACE) registered,2026-Q3,1,MET-0022,10,0,count,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0023,Atlassian,third_party_coselling,Google co-sell engagements,2026-Q3,1,MET-0023,6,0,count,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0024,Atlassian,third_party_coselling,GSI joint pipeline value,2026-Q3,1,MET-0024,400000,0,EUR,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0025,Atlassian,solutions,Number of solutions created,2026-Q3,1,MET-0025,6,0,count,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0026,Atlassian,solutions,Number of solutions sold,2026-Q3,1,MET-0026,15,0,count,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0027,Atlassian,solutions,Revenue generated from solutions,2026-Q3,1,MET-0027,400000,0,EUR,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0028,Atlassian,solutions,Solution vertical coverage,2026-Q3,1,MET-0028,5,0,verticals,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data; see solution_verticals.csv,2026-07-18,migration_002
RES-0029,Atlassian,services,Services revenue sold to clients,2026-Q3,1,MET-0029,600000,0,EUR,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0030,Atlassian,services,Number of clients who purchased services,2026-Q3,1,MET-0030,25,0,count,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
